member #,member name,topic
16,Sarah Lambert,Mining Heterogeneous Data
16,Sarah Lambert,"Mining Visual, Multimedia, and Multimodal Data"
16,Sarah Lambert,Large Language Models
16,Sarah Lambert,Explainability in Computer Vision
16,Sarah Lambert,3D Computer Vision
17,Joel Bishop,Mixed Discrete/Continuous Planning
17,Joel Bishop,Engineering Multiagent Systems
17,Joel Bishop,Causal Learning
17,Joel Bishop,Explainability (outside Machine Learning)
17,Joel Bishop,Human Computation and Crowdsourcing
17,Joel Bishop,Video Understanding and Activity Analysis
17,Joel Bishop,Human-Computer Interaction
17,Joel Bishop,Real-Time Systems
18,Susan White,Bayesian Learning
18,Susan White,Cognitive Science
18,Susan White,Autonomous Driving
18,Susan White,Humanities
18,Susan White,Multiagent Planning
18,Susan White,Medical and Biological Imaging
18,Susan White,"Continual, Online, and Real-Time Planning"
18,Susan White,Information Extraction
18,Susan White,AI for Social Good
19,Tara Wade,Engineering Multiagent Systems
19,Tara Wade,Planning and Machine Learning
19,Tara Wade,"Phonology, Morphology, and Word Segmentation"
19,Tara Wade,Other Topics in Robotics
19,Tara Wade,Commonsense Reasoning
19,Tara Wade,Databases
19,Tara Wade,Multiagent Learning
19,Tara Wade,Other Topics in Multiagent Systems
19,Tara Wade,Human-Aware Planning and Behaviour Prediction
20,Brent Reynolds,Learning Preferences or Rankings
20,Brent Reynolds,Markov Decision Processes
20,Brent Reynolds,Evolutionary Learning
20,Brent Reynolds,Mining Semi-Structured Data
20,Brent Reynolds,Marketing
21,Richard Smith,Qualitative Reasoning
21,Richard Smith,Web and Network Science
21,Richard Smith,Mining Spatial and Temporal Data
21,Richard Smith,Human-Robot/Agent Interaction
21,Richard Smith,Standards and Certification
21,Richard Smith,Machine Learning for NLP
21,Richard Smith,User Modelling and Personalisation
21,Richard Smith,Markov Decision Processes
22,James Baker,Entertainment
22,James Baker,Robot Planning and Scheduling
22,James Baker,"Belief Revision, Update, and Merging"
22,James Baker,Environmental Impacts of AI
22,James Baker,Quantum Machine Learning
22,James Baker,Case-Based Reasoning
22,James Baker,Planning and Machine Learning
22,James Baker,Cyber Security and Privacy
23,Cynthia Arroyo,Graphical Models
23,Cynthia Arroyo,Big Data and Scalability
23,Cynthia Arroyo,NLP Resources and Evaluation
23,Cynthia Arroyo,Education
23,Cynthia Arroyo,Scheduling
23,Cynthia Arroyo,Databases
23,Cynthia Arroyo,Non-Monotonic Reasoning
23,Cynthia Arroyo,Voting Theory
23,Cynthia Arroyo,Privacy and Security
23,Cynthia Arroyo,Reinforcement Learning with Human Feedback
24,Kristy Hoover,Philosophical Foundations of AI
24,Kristy Hoover,Representation Learning for Computer Vision
24,Kristy Hoover,Markov Decision Processes
24,Kristy Hoover,Mixed Discrete and Continuous Optimisation
24,Kristy Hoover,Societal Impacts of AI
24,Kristy Hoover,"Energy, Environment, and Sustainability"
24,Kristy Hoover,Adversarial Attacks on CV Systems
24,Kristy Hoover,Multiagent Planning
25,Robert Hughes,Federated Learning
25,Robert Hughes,User Experience and Usability
25,Robert Hughes,Standards and Certification
25,Robert Hughes,Cyber Security and Privacy
25,Robert Hughes,Decision and Utility Theory
25,Robert Hughes,Reinforcement Learning Algorithms
26,Carlos Turner,Computer-Aided Education
26,Carlos Turner,Information Extraction
26,Carlos Turner,Imitation Learning and Inverse Reinforcement Learning
26,Carlos Turner,Privacy and Security
26,Carlos Turner,Robot Manipulation
26,Carlos Turner,Federated Learning
26,Carlos Turner,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
27,Matthew Vazquez,User Modelling and Personalisation
27,Matthew Vazquez,Mining Heterogeneous Data
27,Matthew Vazquez,Game Playing
27,Matthew Vazquez,Visual Reasoning and Symbolic Representation
27,Matthew Vazquez,"Phonology, Morphology, and Word Segmentation"
27,Matthew Vazquez,Rule Mining and Pattern Mining
27,Matthew Vazquez,Information Retrieval
27,Matthew Vazquez,Heuristic Search
27,Matthew Vazquez,Data Compression
27,Matthew Vazquez,Autonomous Driving
28,Amber Erickson,Other Topics in Constraints and Satisfiability
28,Amber Erickson,Satisfiability Modulo Theories
28,Amber Erickson,Graph-Based Machine Learning
28,Amber Erickson,Distributed Problem Solving
28,Amber Erickson,Safety and Robustness
28,Amber Erickson,Adversarial Attacks on NLP Systems
28,Amber Erickson,Semi-Supervised Learning
28,Amber Erickson,Cyber Security and Privacy
28,Amber Erickson,Deep Reinforcement Learning
28,Amber Erickson,Philosophical Foundations of AI
29,Brenda Brewer,Stochastic Models and Probabilistic Inference
29,Brenda Brewer,Description Logics
29,Brenda Brewer,Sports
29,Brenda Brewer,Big Data and Scalability
29,Brenda Brewer,Multi-Robot Systems
30,Wanda Cooper,Mobility
30,Wanda Cooper,Other Topics in Robotics
30,Wanda Cooper,Non-Monotonic Reasoning
30,Wanda Cooper,Answer Set Programming
30,Wanda Cooper,Multi-Class/Multi-Label Learning and Extreme Classification
31,Christopher Jones,Solvers and Tools
31,Christopher Jones,Mixed Discrete/Continuous Planning
31,Christopher Jones,Markov Decision Processes
31,Christopher Jones,Speech and Multimodality
31,Christopher Jones,Mining Spatial and Temporal Data
31,Christopher Jones,Randomised Algorithms
31,Christopher Jones,Argumentation
31,Christopher Jones,Fairness and Bias
31,Christopher Jones,Dynamic Programming
31,Christopher Jones,Planning and Machine Learning
32,Dr. Bobby,Mining Heterogeneous Data
32,Dr. Bobby,Logic Foundations
32,Dr. Bobby,Mixed Discrete/Continuous Planning
32,Dr. Bobby,Imitation Learning and Inverse Reinforcement Learning
32,Dr. Bobby,Other Topics in Robotics
32,Dr. Bobby,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
32,Dr. Bobby,Adversarial Attacks on CV Systems
32,Dr. Bobby,"Face, Gesture, and Pose Recognition"
33,Dana Harris,Entertainment
33,Dana Harris,Accountability
33,Dana Harris,Combinatorial Search and Optimisation
33,Dana Harris,Machine Learning for Computer Vision
33,Dana Harris,"Segmentation, Grouping, and Shape Analysis"
34,David Garcia,Heuristic Search
34,David Garcia,Responsible AI
34,David Garcia,News and Media
34,David Garcia,Optimisation for Robotics
34,David Garcia,Mining Spatial and Temporal Data
34,David Garcia,Causal Learning
34,David Garcia,Quantum Computing
35,Miranda Price,Federated Learning
35,Miranda Price,Distributed Machine Learning
35,Miranda Price,3D Computer Vision
35,Miranda Price,Bayesian Learning
35,Miranda Price,Argumentation
35,Miranda Price,Privacy in Data Mining
35,Miranda Price,Automated Reasoning and Theorem Proving
36,John Jones,Time-Series and Data Streams
36,John Jones,Global Constraints
36,John Jones,Dynamic Programming
36,John Jones,"Constraints, Data Mining, and Machine Learning"
36,John Jones,Data Stream Mining
36,John Jones,Optimisation for Robotics
36,John Jones,Language Grounding
37,Jenny Gutierrez,Philosophy and Ethics
37,Jenny Gutierrez,"Belief Revision, Update, and Merging"
37,Jenny Gutierrez,Mining Semi-Structured Data
37,Jenny Gutierrez,"Human-Computer Teamwork, Team Formation, and Collaboration"
37,Jenny Gutierrez,Satisfiability
37,Jenny Gutierrez,Automated Learning and Hyperparameter Tuning
37,Jenny Gutierrez,Summarisation
37,Jenny Gutierrez,Recommender Systems
37,Jenny Gutierrez,Unsupervised and Self-Supervised Learning
37,Jenny Gutierrez,Inductive and Co-Inductive Logic Programming
38,Nancy Ruiz,"Understanding People: Theories, Concepts, and Methods"
38,Nancy Ruiz,Machine Learning for Computer Vision
38,Nancy Ruiz,Time-Series and Data Streams
38,Nancy Ruiz,Speech and Multimodality
38,Nancy Ruiz,Neuro-Symbolic Methods
38,Nancy Ruiz,Robot Planning and Scheduling
39,Paula Pham,Heuristic Search
39,Paula Pham,Anomaly/Outlier Detection
39,Paula Pham,Evolutionary Learning
39,Paula Pham,Education
39,Paula Pham,Explainability and Interpretability in Machine Learning
39,Paula Pham,Other Topics in Robotics
39,Paula Pham,Object Detection and Categorisation
40,Crystal Mills,Deep Neural Network Algorithms
40,Crystal Mills,Quantum Computing
40,Crystal Mills,Robot Planning and Scheduling
40,Crystal Mills,Semantic Web
40,Crystal Mills,Scene Analysis and Understanding
40,Crystal Mills,Conversational AI and Dialogue Systems
40,Crystal Mills,Safety and Robustness
40,Crystal Mills,Multi-Instance/Multi-View Learning
40,Crystal Mills,Automated Reasoning and Theorem Proving
41,Tiffany Barnes,Other Topics in Constraints and Satisfiability
41,Tiffany Barnes,Behavioural Game Theory
41,Tiffany Barnes,"Phonology, Morphology, and Word Segmentation"
41,Tiffany Barnes,Explainability and Interpretability in Machine Learning
41,Tiffany Barnes,Standards and Certification
42,Andrew Evans,Distributed CSP and Optimisation
42,Andrew Evans,Human-Computer Interaction
42,Andrew Evans,"Model Adaptation, Compression, and Distillation"
42,Andrew Evans,Approximate Inference
42,Andrew Evans,Multiagent Planning
42,Andrew Evans,Information Retrieval
42,Andrew Evans,"AI in Law, Justice, Regulation, and Governance"
43,Jacob Meadows,Global Constraints
43,Jacob Meadows,NLP Resources and Evaluation
43,Jacob Meadows,Other Topics in Natural Language Processing
43,Jacob Meadows,Evolutionary Learning
43,Jacob Meadows,Safety and Robustness
43,Jacob Meadows,Rule Mining and Pattern Mining
44,Christopher Wilson,Big Data and Scalability
44,Christopher Wilson,Combinatorial Search and Optimisation
44,Christopher Wilson,Machine Learning for NLP
44,Christopher Wilson,Preferences
44,Christopher Wilson,Databases
44,Christopher Wilson,Deep Neural Network Architectures
44,Christopher Wilson,Probabilistic Modelling
45,Robert Ramos,Learning Human Values and Preferences
45,Robert Ramos,Behaviour Learning and Control for Robotics
45,Robert Ramos,"Communication, Coordination, and Collaboration"
45,Robert Ramos,Probabilistic Programming
45,Robert Ramos,Knowledge Compilation
45,Robert Ramos,Deep Neural Network Architectures
45,Robert Ramos,Algorithmic Game Theory
46,Desiree Jordan,Vision and Language
46,Desiree Jordan,Explainability and Interpretability in Machine Learning
46,Desiree Jordan,Sequential Decision Making
46,Desiree Jordan,Multi-Instance/Multi-View Learning
46,Desiree Jordan,Adversarial Learning and Robustness
46,Desiree Jordan,Meta-Learning
46,Desiree Jordan,Human-in-the-loop Systems
46,Desiree Jordan,Routing
46,Desiree Jordan,Neuro-Symbolic Methods
46,Desiree Jordan,Solvers and Tools
47,Dr. Nathaniel,Other Topics in Uncertainty in AI
47,Dr. Nathaniel,Graph-Based Machine Learning
47,Dr. Nathaniel,"AI in Law, Justice, Regulation, and Governance"
47,Dr. Nathaniel,Other Topics in Planning and Search
47,Dr. Nathaniel,"Transfer, Domain Adaptation, and Multi-Task Learning"
47,Dr. Nathaniel,"Belief Revision, Update, and Merging"
48,Dylan Moore,Dimensionality Reduction/Feature Selection
48,Dylan Moore,"Phonology, Morphology, and Word Segmentation"
48,Dylan Moore,Environmental Impacts of AI
48,Dylan Moore,Bioinformatics
48,Dylan Moore,Combinatorial Search and Optimisation
48,Dylan Moore,News and Media
48,Dylan Moore,Knowledge Acquisition and Representation for Planning
48,Dylan Moore,Planning and Machine Learning
48,Dylan Moore,Stochastic Optimisation
49,Andre Hunter,"Segmentation, Grouping, and Shape Analysis"
49,Andre Hunter,Information Extraction
49,Andre Hunter,Causality
49,Andre Hunter,Large Language Models
49,Andre Hunter,Humanities
50,Monique Crawford,Recommender Systems
50,Monique Crawford,Mixed Discrete and Continuous Optimisation
50,Monique Crawford,Non-Monotonic Reasoning
50,Monique Crawford,Agent-Based Simulation and Complex Systems
50,Monique Crawford,Ensemble Methods
50,Monique Crawford,Other Topics in Machine Learning
51,Terry Myers,Sports
51,Terry Myers,Reinforcement Learning Algorithms
51,Terry Myers,Satisfiability
51,Terry Myers,Evaluation and Analysis in Machine Learning
51,Terry Myers,Robot Rights
51,Terry Myers,Genetic Algorithms
51,Terry Myers,Fairness and Bias
51,Terry Myers,"Understanding People: Theories, Concepts, and Methods"
51,Terry Myers,Image and Video Generation
52,Katie Miller,Reinforcement Learning Algorithms
52,Katie Miller,Knowledge Acquisition and Representation for Planning
52,Katie Miller,Mobility
52,Katie Miller,Federated Learning
52,Katie Miller,Knowledge Representation Languages
52,Katie Miller,Data Stream Mining
52,Katie Miller,Probabilistic Programming
53,Olivia Garza,Syntax and Parsing
53,Olivia Garza,Reinforcement Learning Algorithms
53,Olivia Garza,Natural Language Generation
53,Olivia Garza,Semi-Supervised Learning
53,Olivia Garza,Meta-Learning
53,Olivia Garza,Human-Robot Interaction
53,Olivia Garza,Mining Heterogeneous Data
53,Olivia Garza,Standards and Certification
53,Olivia Garza,Behaviour Learning and Control for Robotics
53,Olivia Garza,Kernel Methods
54,Brian Wyatt,Deep Reinforcement Learning
54,Brian Wyatt,Image and Video Generation
54,Brian Wyatt,Adversarial Search
54,Brian Wyatt,Personalisation and User Modelling
54,Brian Wyatt,News and Media
54,Brian Wyatt,Video Understanding and Activity Analysis
55,Sonia Tucker,Sports
55,Sonia Tucker,Interpretability and Analysis of NLP Models
55,Sonia Tucker,"Belief Revision, Update, and Merging"
55,Sonia Tucker,Robot Planning and Scheduling
55,Sonia Tucker,Anomaly/Outlier Detection
55,Sonia Tucker,Hardware
56,Christopher Owens,Machine Learning for Computer Vision
56,Christopher Owens,Internet of Things
56,Christopher Owens,Solvers and Tools
56,Christopher Owens,Evaluation and Analysis in Machine Learning
56,Christopher Owens,Bayesian Networks
57,Marcus Hayes,Human Computation and Crowdsourcing
57,Marcus Hayes,"Conformant, Contingent, and Adversarial Planning"
57,Marcus Hayes,Human-Computer Interaction
57,Marcus Hayes,"Localisation, Mapping, and Navigation"
57,Marcus Hayes,Graph-Based Machine Learning
57,Marcus Hayes,Mixed Discrete and Continuous Optimisation
57,Marcus Hayes,Global Constraints
57,Marcus Hayes,Humanities
57,Marcus Hayes,Mining Semi-Structured Data
57,Marcus Hayes,Intelligent Database Systems
58,Robert Taylor,Game Playing
58,Robert Taylor,Semantic Web
58,Robert Taylor,Deep Reinforcement Learning
58,Robert Taylor,Representation Learning for Computer Vision
58,Robert Taylor,Fairness and Bias
58,Robert Taylor,Constraint Programming
58,Robert Taylor,Probabilistic Modelling
58,Robert Taylor,Routing
58,Robert Taylor,Cognitive Modelling
59,Brian Elliott,Autonomous Driving
59,Brian Elliott,Deep Neural Network Algorithms
59,Brian Elliott,Partially Observable and Unobservable Domains
59,Brian Elliott,Arts and Creativity
59,Brian Elliott,Summarisation
59,Brian Elliott,"Other Topics Related to Fairness, Ethics, or Trust"
59,Brian Elliott,Deep Reinforcement Learning
59,Brian Elliott,Artificial Life
59,Brian Elliott,Online Learning and Bandits
59,Brian Elliott,Unsupervised and Self-Supervised Learning
60,Robert Montes,Economic Paradigms
60,Robert Montes,Sequential Decision Making
60,Robert Montes,Aerospace
60,Robert Montes,Fair Division
60,Robert Montes,Causality
60,Robert Montes,Question Answering
60,Robert Montes,Ensemble Methods
60,Robert Montes,Meta-Learning
60,Robert Montes,Smart Cities and Urban Planning
60,Robert Montes,Distributed CSP and Optimisation
61,Amber Novak,Quantum Computing
61,Amber Novak,Search and Machine Learning
61,Amber Novak,Classical Planning
61,Amber Novak,Logic Foundations
61,Amber Novak,Argumentation
61,Amber Novak,Knowledge Compilation
61,Amber Novak,Knowledge Acquisition
61,Amber Novak,Description Logics
61,Amber Novak,Human-in-the-loop Systems
61,Amber Novak,Economic Paradigms
62,Gary Robinson,Societal Impacts of AI
62,Gary Robinson,Large Language Models
62,Gary Robinson,Education
62,Gary Robinson,Robot Rights
62,Gary Robinson,Deep Neural Network Algorithms
62,Gary Robinson,Knowledge Acquisition and Representation for Planning
62,Gary Robinson,Computational Social Choice
62,Gary Robinson,Verification
62,Gary Robinson,Optimisation in Machine Learning
62,Gary Robinson,Environmental Impacts of AI
63,April Wright,Answer Set Programming
63,April Wright,Other Topics in Constraints and Satisfiability
63,April Wright,Automated Reasoning and Theorem Proving
63,April Wright,Distributed CSP and Optimisation
63,April Wright,Sports
64,Michael Butler,User Experience and Usability
64,Michael Butler,Computer Vision Theory
64,Michael Butler,Visual Reasoning and Symbolic Representation
64,Michael Butler,Learning Theory
64,Michael Butler,Genetic Algorithms
64,Michael Butler,Solvers and Tools
64,Michael Butler,Reinforcement Learning with Human Feedback
65,Barbara Anderson,Inductive and Co-Inductive Logic Programming
65,Barbara Anderson,Life Sciences
65,Barbara Anderson,Human-Aware Planning and Behaviour Prediction
65,Barbara Anderson,"Phonology, Morphology, and Word Segmentation"
65,Barbara Anderson,Marketing
66,Mallory Porter,Big Data and Scalability
66,Mallory Porter,Game Playing
66,Mallory Porter,Classical Planning
66,Mallory Porter,"Transfer, Domain Adaptation, and Multi-Task Learning"
66,Mallory Porter,Societal Impacts of AI
66,Mallory Porter,Cognitive Modelling
66,Mallory Porter,Algorithmic Game Theory
66,Mallory Porter,Anomaly/Outlier Detection
66,Mallory Porter,Reinforcement Learning Theory
67,Vanessa Johnston,"AI in Law, Justice, Regulation, and Governance"
67,Vanessa Johnston,"Other Topics Related to Fairness, Ethics, or Trust"
67,Vanessa Johnston,Artificial Life
67,Vanessa Johnston,Explainability (outside Machine Learning)
67,Vanessa Johnston,Transparency
67,Vanessa Johnston,Distributed Machine Learning
67,Vanessa Johnston,Other Topics in Uncertainty in AI
67,Vanessa Johnston,Approximate Inference
67,Vanessa Johnston,"Energy, Environment, and Sustainability"
67,Vanessa Johnston,Reasoning about Action and Change
68,Stacey Hernandez,Information Extraction
68,Stacey Hernandez,Machine Learning for Robotics
68,Stacey Hernandez,Game Playing
68,Stacey Hernandez,"Conformant, Contingent, and Adversarial Planning"
68,Stacey Hernandez,Scheduling
68,Stacey Hernandez,Databases
69,Karen Schmidt,Sequential Decision Making
69,Karen Schmidt,Multiagent Planning
69,Karen Schmidt,Relational Learning
69,Karen Schmidt,Machine Translation
69,Karen Schmidt,Deep Reinforcement Learning
69,Karen Schmidt,Cognitive Modelling
69,Karen Schmidt,Trust
69,Karen Schmidt,Case-Based Reasoning
69,Karen Schmidt,Approximate Inference
70,Robert Cox,Local Search
70,Robert Cox,Multilingualism and Linguistic Diversity
70,Robert Cox,Machine Ethics
70,Robert Cox,Software Engineering
70,Robert Cox,Distributed CSP and Optimisation
70,Robert Cox,Medical and Biological Imaging
71,Tyler Warren,Multimodal Perception and Sensor Fusion
71,Tyler Warren,Mining Spatial and Temporal Data
71,Tyler Warren,Real-Time Systems
71,Tyler Warren,Standards and Certification
71,Tyler Warren,Speech and Multimodality
71,Tyler Warren,Computer Vision Theory
72,David Lyons,"Continual, Online, and Real-Time Planning"
72,David Lyons,Standards and Certification
72,David Lyons,Philosophy and Ethics
72,David Lyons,Environmental Impacts of AI
72,David Lyons,Multi-Instance/Multi-View Learning
72,David Lyons,"Phonology, Morphology, and Word Segmentation"
72,David Lyons,Adversarial Attacks on CV Systems
72,David Lyons,Summarisation
72,David Lyons,Answer Set Programming
72,David Lyons,Human-in-the-loop Systems
73,Noah Zamora,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
73,Noah Zamora,Fuzzy Sets and Systems
73,Noah Zamora,Data Compression
73,Noah Zamora,Optimisation for Robotics
73,Noah Zamora,Question Answering
73,Noah Zamora,Constraint Learning and Acquisition
73,Noah Zamora,Time-Series and Data Streams
73,Noah Zamora,Speech and Multimodality
73,Noah Zamora,Constraint Optimisation
73,Noah Zamora,Stochastic Optimisation
74,Jeremy Ferguson,Distributed Problem Solving
74,Jeremy Ferguson,Non-Monotonic Reasoning
74,Jeremy Ferguson,Mining Codebase and Software Repositories
74,Jeremy Ferguson,"Plan Execution, Monitoring, and Repair"
74,Jeremy Ferguson,Commonsense Reasoning
74,Jeremy Ferguson,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
75,Daniel Durham,Semantic Web
75,Daniel Durham,Bayesian Networks
75,Daniel Durham,Mobility
75,Daniel Durham,Privacy-Aware Machine Learning
75,Daniel Durham,Summarisation
75,Daniel Durham,Deep Reinforcement Learning
75,Daniel Durham,Preferences
75,Daniel Durham,Education
76,Mr. Samuel,Reinforcement Learning with Human Feedback
76,Mr. Samuel,Transparency
76,Mr. Samuel,Distributed Problem Solving
76,Mr. Samuel,Semantic Web
76,Mr. Samuel,Routing
76,Mr. Samuel,Classification and Regression
76,Mr. Samuel,"Constraints, Data Mining, and Machine Learning"
76,Mr. Samuel,Planning and Machine Learning
76,Mr. Samuel,Deep Neural Network Algorithms
76,Mr. Samuel,Non-Probabilistic Models of Uncertainty
77,Ryan King,Multimodal Perception and Sensor Fusion
77,Ryan King,Probabilistic Modelling
77,Ryan King,Mobility
77,Ryan King,Automated Reasoning and Theorem Proving
77,Ryan King,Quantum Machine Learning
77,Ryan King,Explainability (outside Machine Learning)
78,Elizabeth Palmer,Knowledge Graphs and Open Linked Data
78,Elizabeth Palmer,Vision and Language
78,Elizabeth Palmer,Inductive and Co-Inductive Logic Programming
78,Elizabeth Palmer,Imitation Learning and Inverse Reinforcement Learning
78,Elizabeth Palmer,Qualitative Reasoning
78,Elizabeth Palmer,Multilingualism and Linguistic Diversity
79,Jennifer Martin,Reasoning about Knowledge and Beliefs
79,Jennifer Martin,Data Visualisation and Summarisation
79,Jennifer Martin,Speech and Multimodality
79,Jennifer Martin,Web and Network Science
79,Jennifer Martin,Heuristic Search
79,Jennifer Martin,Human-Robot/Agent Interaction
80,Megan Hamilton,Quantum Machine Learning
80,Megan Hamilton,Text Mining
80,Megan Hamilton,Artificial Life
80,Megan Hamilton,Mobility
80,Megan Hamilton,Image and Video Generation
81,Jennifer Matthews,Human-Machine Interaction Techniques and Devices
81,Jennifer Matthews,Reasoning about Action and Change
81,Jennifer Matthews,Social Sciences
81,Jennifer Matthews,Mobility
81,Jennifer Matthews,Other Topics in Machine Learning
82,Michael Carter,Knowledge Graphs and Open Linked Data
82,Michael Carter,Other Multidisciplinary Topics
82,Michael Carter,Planning and Decision Support for Human-Machine Teams
82,Michael Carter,Human-Aware Planning and Behaviour Prediction
82,Michael Carter,Agent Theories and Models
82,Michael Carter,Automated Reasoning and Theorem Proving
83,Daniel Hart,Data Visualisation and Summarisation
83,Daniel Hart,"Coordination, Organisations, Institutions, and Norms"
83,Daniel Hart,Machine Translation
83,Daniel Hart,Explainability and Interpretability in Machine Learning
83,Daniel Hart,Other Topics in Computer Vision
83,Daniel Hart,Language Grounding
83,Daniel Hart,"AI in Law, Justice, Regulation, and Governance"
83,Daniel Hart,Routing
83,Daniel Hart,"Communication, Coordination, and Collaboration"
83,Daniel Hart,Robot Planning and Scheduling
84,Wendy Hernandez,Philosophical Foundations of AI
84,Wendy Hernandez,Causality
84,Wendy Hernandez,Human-Aware Planning and Behaviour Prediction
84,Wendy Hernandez,Graphical Models
84,Wendy Hernandez,Distributed Machine Learning
84,Wendy Hernandez,Routing
84,Wendy Hernandez,Entertainment
84,Wendy Hernandez,Constraint Learning and Acquisition
