member #,member name,submission #,bid
11,Austin Hooper,487,yes
11,Austin Hooper,518,yes
11,Austin Hooper,523,yes
11,Austin Hooper,617,yes
11,Austin Hooper,643,maybe
11,Austin Hooper,659,yes
11,Austin Hooper,692,yes
11,Austin Hooper,727,maybe
11,Austin Hooper,758,yes
11,Austin Hooper,773,yes
11,Austin Hooper,832,maybe
11,Austin Hooper,886,maybe
11,Austin Hooper,926,yes
11,Austin Hooper,993,maybe
11,Austin Hooper,995,maybe
12,Sara Alexander,14,yes
12,Sara Alexander,131,maybe
12,Sara Alexander,147,maybe
12,Sara Alexander,305,maybe
12,Sara Alexander,337,maybe
12,Sara Alexander,356,maybe
12,Sara Alexander,498,yes
12,Sara Alexander,577,maybe
12,Sara Alexander,581,yes
12,Sara Alexander,644,maybe
12,Sara Alexander,756,yes
12,Sara Alexander,768,yes
12,Sara Alexander,854,yes
12,Sara Alexander,929,yes
12,Sara Alexander,972,yes
12,Sara Alexander,989,yes
946,John Wilson,91,maybe
946,John Wilson,95,yes
946,John Wilson,131,maybe
946,John Wilson,162,maybe
946,John Wilson,267,maybe
946,John Wilson,313,maybe
946,John Wilson,333,yes
946,John Wilson,367,yes
946,John Wilson,380,yes
946,John Wilson,408,yes
946,John Wilson,455,yes
946,John Wilson,529,yes
946,John Wilson,581,yes
946,John Wilson,657,maybe
946,John Wilson,658,maybe
946,John Wilson,741,maybe
946,John Wilson,773,maybe
946,John Wilson,826,yes
946,John Wilson,829,yes
946,John Wilson,833,maybe
946,John Wilson,936,maybe
946,John Wilson,990,yes
14,Amber Blackwell,33,maybe
14,Amber Blackwell,84,yes
14,Amber Blackwell,159,maybe
14,Amber Blackwell,225,yes
14,Amber Blackwell,380,maybe
14,Amber Blackwell,516,yes
14,Amber Blackwell,540,yes
14,Amber Blackwell,757,maybe
14,Amber Blackwell,798,maybe
14,Amber Blackwell,869,yes
15,Jennifer Smith,37,yes
15,Jennifer Smith,43,yes
15,Jennifer Smith,284,yes
15,Jennifer Smith,321,yes
15,Jennifer Smith,494,yes
15,Jennifer Smith,623,yes
15,Jennifer Smith,656,yes
15,Jennifer Smith,658,yes
15,Jennifer Smith,748,yes
15,Jennifer Smith,841,yes
15,Jennifer Smith,918,yes
16,Sarah Lambert,24,yes
16,Sarah Lambert,298,maybe
16,Sarah Lambert,341,maybe
16,Sarah Lambert,432,maybe
16,Sarah Lambert,546,yes
16,Sarah Lambert,765,maybe
16,Sarah Lambert,834,maybe
17,Joel Bishop,23,maybe
17,Joel Bishop,55,maybe
17,Joel Bishop,77,maybe
17,Joel Bishop,79,yes
17,Joel Bishop,107,maybe
17,Joel Bishop,133,maybe
17,Joel Bishop,221,yes
17,Joel Bishop,292,maybe
17,Joel Bishop,311,yes
17,Joel Bishop,339,yes
17,Joel Bishop,400,yes
17,Joel Bishop,407,maybe
17,Joel Bishop,408,yes
17,Joel Bishop,468,maybe
17,Joel Bishop,488,yes
17,Joel Bishop,493,yes
17,Joel Bishop,544,yes
17,Joel Bishop,574,maybe
17,Joel Bishop,670,maybe
17,Joel Bishop,680,yes
17,Joel Bishop,738,maybe
17,Joel Bishop,765,yes
17,Joel Bishop,774,yes
17,Joel Bishop,811,yes
17,Joel Bishop,922,maybe
17,Joel Bishop,960,maybe
18,Susan White,32,yes
18,Susan White,58,yes
18,Susan White,148,maybe
18,Susan White,183,maybe
18,Susan White,200,maybe
18,Susan White,225,maybe
18,Susan White,248,maybe
18,Susan White,269,maybe
18,Susan White,344,maybe
18,Susan White,357,maybe
18,Susan White,359,yes
18,Susan White,365,maybe
18,Susan White,447,yes
18,Susan White,494,maybe
18,Susan White,524,maybe
18,Susan White,540,maybe
18,Susan White,542,maybe
18,Susan White,543,maybe
18,Susan White,583,yes
18,Susan White,628,yes
18,Susan White,712,maybe
18,Susan White,741,maybe
18,Susan White,762,yes
18,Susan White,783,yes
18,Susan White,790,maybe
18,Susan White,829,yes
18,Susan White,873,yes
18,Susan White,906,maybe
18,Susan White,914,yes
18,Susan White,919,maybe
18,Susan White,958,maybe
18,Susan White,971,maybe
18,Susan White,980,yes
19,Tara Wade,105,maybe
19,Tara Wade,369,maybe
19,Tara Wade,437,maybe
19,Tara Wade,450,maybe
19,Tara Wade,551,maybe
19,Tara Wade,556,maybe
19,Tara Wade,600,yes
19,Tara Wade,652,yes
19,Tara Wade,674,yes
19,Tara Wade,799,yes
19,Tara Wade,849,maybe
19,Tara Wade,965,maybe
19,Tara Wade,971,yes
19,Tara Wade,981,maybe
20,Brent Reynolds,17,yes
20,Brent Reynolds,80,maybe
20,Brent Reynolds,87,yes
20,Brent Reynolds,124,maybe
20,Brent Reynolds,184,maybe
20,Brent Reynolds,271,maybe
20,Brent Reynolds,349,yes
20,Brent Reynolds,437,maybe
20,Brent Reynolds,512,yes
20,Brent Reynolds,520,maybe
20,Brent Reynolds,542,yes
20,Brent Reynolds,607,maybe
20,Brent Reynolds,610,yes
20,Brent Reynolds,675,maybe
20,Brent Reynolds,747,yes
20,Brent Reynolds,750,yes
20,Brent Reynolds,756,yes
20,Brent Reynolds,825,maybe
20,Brent Reynolds,876,maybe
21,Richard Smith,51,maybe
21,Richard Smith,65,maybe
21,Richard Smith,75,yes
21,Richard Smith,137,yes
21,Richard Smith,191,maybe
21,Richard Smith,251,yes
21,Richard Smith,304,yes
21,Richard Smith,422,maybe
21,Richard Smith,444,maybe
21,Richard Smith,456,maybe
21,Richard Smith,458,yes
21,Richard Smith,503,yes
21,Richard Smith,575,yes
21,Richard Smith,838,maybe
21,Richard Smith,912,yes
21,Richard Smith,954,yes
22,James Baker,172,yes
22,James Baker,208,maybe
22,James Baker,255,yes
22,James Baker,288,yes
22,James Baker,402,yes
22,James Baker,425,maybe
22,James Baker,461,yes
22,James Baker,468,yes
22,James Baker,475,maybe
22,James Baker,518,yes
22,James Baker,528,yes
22,James Baker,675,maybe
22,James Baker,677,yes
22,James Baker,681,yes
22,James Baker,689,maybe
22,James Baker,801,yes
22,James Baker,867,maybe
22,James Baker,956,maybe
22,James Baker,961,yes
23,Cynthia Arroyo,48,yes
23,Cynthia Arroyo,71,maybe
23,Cynthia Arroyo,273,maybe
23,Cynthia Arroyo,285,yes
23,Cynthia Arroyo,316,maybe
23,Cynthia Arroyo,336,yes
23,Cynthia Arroyo,427,maybe
23,Cynthia Arroyo,454,maybe
23,Cynthia Arroyo,467,yes
23,Cynthia Arroyo,566,maybe
23,Cynthia Arroyo,576,yes
23,Cynthia Arroyo,580,maybe
23,Cynthia Arroyo,606,maybe
23,Cynthia Arroyo,626,maybe
23,Cynthia Arroyo,671,maybe
23,Cynthia Arroyo,697,yes
23,Cynthia Arroyo,705,yes
23,Cynthia Arroyo,718,maybe
23,Cynthia Arroyo,759,maybe
23,Cynthia Arroyo,798,yes
23,Cynthia Arroyo,859,maybe
23,Cynthia Arroyo,918,maybe
23,Cynthia Arroyo,919,yes
23,Cynthia Arroyo,931,yes
23,Cynthia Arroyo,938,yes
23,Cynthia Arroyo,948,maybe
23,Cynthia Arroyo,952,yes
23,Cynthia Arroyo,992,maybe
2229,Kristy Hoover,49,yes
2229,Kristy Hoover,57,maybe
2229,Kristy Hoover,136,maybe
2229,Kristy Hoover,167,yes
2229,Kristy Hoover,182,yes
2229,Kristy Hoover,283,yes
2229,Kristy Hoover,345,maybe
2229,Kristy Hoover,476,maybe
2229,Kristy Hoover,539,yes
2229,Kristy Hoover,549,maybe
2229,Kristy Hoover,571,maybe
2229,Kristy Hoover,602,yes
2229,Kristy Hoover,631,yes
2229,Kristy Hoover,667,yes
2229,Kristy Hoover,737,maybe
2229,Kristy Hoover,760,maybe
2229,Kristy Hoover,781,yes
2229,Kristy Hoover,791,maybe
2229,Kristy Hoover,933,maybe
2371,Robert Hughes,5,maybe
2371,Robert Hughes,69,yes
2371,Robert Hughes,129,maybe
2371,Robert Hughes,137,maybe
2371,Robert Hughes,151,yes
2371,Robert Hughes,161,yes
2371,Robert Hughes,215,maybe
2371,Robert Hughes,302,maybe
2371,Robert Hughes,304,yes
2371,Robert Hughes,441,yes
2371,Robert Hughes,443,yes
2371,Robert Hughes,475,maybe
2371,Robert Hughes,517,maybe
2371,Robert Hughes,567,maybe
2371,Robert Hughes,570,maybe
2371,Robert Hughes,580,maybe
2371,Robert Hughes,613,yes
2371,Robert Hughes,618,maybe
2371,Robert Hughes,784,yes
2371,Robert Hughes,819,yes
2371,Robert Hughes,947,maybe
26,Carlos Turner,25,yes
26,Carlos Turner,49,yes
26,Carlos Turner,96,yes
26,Carlos Turner,125,maybe
26,Carlos Turner,221,yes
26,Carlos Turner,229,yes
26,Carlos Turner,288,maybe
26,Carlos Turner,332,yes
26,Carlos Turner,389,maybe
26,Carlos Turner,423,maybe
26,Carlos Turner,452,yes
26,Carlos Turner,504,yes
26,Carlos Turner,512,maybe
26,Carlos Turner,524,maybe
26,Carlos Turner,666,yes
26,Carlos Turner,762,maybe
26,Carlos Turner,813,maybe
26,Carlos Turner,924,maybe
26,Carlos Turner,943,yes
26,Carlos Turner,961,yes
26,Carlos Turner,979,maybe
27,Matthew Vazquez,24,yes
27,Matthew Vazquez,205,maybe
27,Matthew Vazquez,208,maybe
27,Matthew Vazquez,254,maybe
27,Matthew Vazquez,305,maybe
27,Matthew Vazquez,343,maybe
27,Matthew Vazquez,386,yes
27,Matthew Vazquez,389,yes
27,Matthew Vazquez,443,yes
27,Matthew Vazquez,488,yes
27,Matthew Vazquez,623,maybe
27,Matthew Vazquez,646,yes
27,Matthew Vazquez,649,maybe
27,Matthew Vazquez,652,maybe
27,Matthew Vazquez,876,yes
27,Matthew Vazquez,906,maybe
27,Matthew Vazquez,946,maybe
27,Matthew Vazquez,980,yes
27,Matthew Vazquez,1000,maybe
28,Amber Erickson,17,maybe
28,Amber Erickson,173,yes
28,Amber Erickson,192,yes
28,Amber Erickson,244,yes
28,Amber Erickson,260,yes
28,Amber Erickson,329,yes
28,Amber Erickson,426,yes
28,Amber Erickson,431,yes
28,Amber Erickson,444,yes
28,Amber Erickson,486,maybe
28,Amber Erickson,514,maybe
28,Amber Erickson,527,maybe
28,Amber Erickson,576,yes
28,Amber Erickson,581,maybe
28,Amber Erickson,622,maybe
28,Amber Erickson,739,yes
28,Amber Erickson,751,yes
28,Amber Erickson,776,yes
28,Amber Erickson,784,maybe
28,Amber Erickson,812,maybe
28,Amber Erickson,863,maybe
28,Amber Erickson,914,maybe
28,Amber Erickson,978,maybe
29,Brenda Brewer,53,maybe
29,Brenda Brewer,191,maybe
29,Brenda Brewer,196,yes
29,Brenda Brewer,312,yes
29,Brenda Brewer,318,yes
29,Brenda Brewer,322,yes
29,Brenda Brewer,331,maybe
29,Brenda Brewer,332,yes
29,Brenda Brewer,342,yes
29,Brenda Brewer,351,yes
29,Brenda Brewer,412,maybe
29,Brenda Brewer,517,maybe
29,Brenda Brewer,531,maybe
29,Brenda Brewer,542,maybe
29,Brenda Brewer,544,maybe
29,Brenda Brewer,567,yes
29,Brenda Brewer,578,maybe
29,Brenda Brewer,583,maybe
29,Brenda Brewer,595,yes
29,Brenda Brewer,643,yes
29,Brenda Brewer,685,yes
29,Brenda Brewer,777,yes
29,Brenda Brewer,823,maybe
29,Brenda Brewer,855,yes
29,Brenda Brewer,891,yes
29,Brenda Brewer,916,yes
29,Brenda Brewer,948,maybe
29,Brenda Brewer,956,yes
29,Brenda Brewer,962,maybe
384,Wanda Cooper,97,yes
384,Wanda Cooper,131,maybe
384,Wanda Cooper,186,yes
384,Wanda Cooper,222,maybe
384,Wanda Cooper,283,yes
384,Wanda Cooper,292,yes
384,Wanda Cooper,350,maybe
384,Wanda Cooper,354,maybe
384,Wanda Cooper,385,yes
384,Wanda Cooper,395,maybe
384,Wanda Cooper,567,yes
384,Wanda Cooper,637,yes
384,Wanda Cooper,776,yes
384,Wanda Cooper,837,maybe
384,Wanda Cooper,923,yes
384,Wanda Cooper,934,maybe
384,Wanda Cooper,993,yes
31,Christopher Jones,20,yes
31,Christopher Jones,22,maybe
31,Christopher Jones,50,yes
31,Christopher Jones,51,yes
31,Christopher Jones,63,maybe
31,Christopher Jones,84,yes
31,Christopher Jones,92,maybe
31,Christopher Jones,136,yes
31,Christopher Jones,144,maybe
31,Christopher Jones,236,maybe
31,Christopher Jones,362,yes
31,Christopher Jones,443,maybe
31,Christopher Jones,574,maybe
31,Christopher Jones,595,yes
31,Christopher Jones,725,maybe
31,Christopher Jones,739,yes
31,Christopher Jones,881,maybe
31,Christopher Jones,932,maybe
31,Christopher Jones,939,maybe
32,Dr. Bobby,31,yes
32,Dr. Bobby,122,yes
32,Dr. Bobby,168,maybe
32,Dr. Bobby,194,yes
32,Dr. Bobby,264,yes
32,Dr. Bobby,403,yes
32,Dr. Bobby,431,maybe
32,Dr. Bobby,456,yes
32,Dr. Bobby,556,yes
32,Dr. Bobby,593,maybe
32,Dr. Bobby,640,maybe
32,Dr. Bobby,678,yes
32,Dr. Bobby,796,yes
32,Dr. Bobby,854,yes
2025,Dana Harris,73,maybe
2025,Dana Harris,115,maybe
2025,Dana Harris,151,maybe
2025,Dana Harris,167,yes
2025,Dana Harris,261,maybe
2025,Dana Harris,282,maybe
2025,Dana Harris,321,maybe
2025,Dana Harris,333,yes
2025,Dana Harris,368,maybe
2025,Dana Harris,473,yes
2025,Dana Harris,502,maybe
2025,Dana Harris,511,maybe
2025,Dana Harris,557,yes
2025,Dana Harris,573,yes
2025,Dana Harris,596,maybe
2025,Dana Harris,609,maybe
2025,Dana Harris,654,maybe
2025,Dana Harris,830,yes
2025,Dana Harris,873,maybe
2025,Dana Harris,878,yes
2025,Dana Harris,952,maybe
2025,Dana Harris,1000,maybe
1462,David Garcia,4,yes
1462,David Garcia,11,yes
1462,David Garcia,62,yes
1462,David Garcia,77,yes
1462,David Garcia,90,yes
1462,David Garcia,288,yes
1462,David Garcia,314,yes
1462,David Garcia,477,yes
1462,David Garcia,523,yes
1462,David Garcia,526,yes
1462,David Garcia,616,yes
1462,David Garcia,707,yes
35,Miranda Price,35,maybe
35,Miranda Price,39,maybe
35,Miranda Price,119,yes
35,Miranda Price,149,yes
35,Miranda Price,172,maybe
35,Miranda Price,196,yes
35,Miranda Price,227,maybe
35,Miranda Price,233,yes
35,Miranda Price,246,yes
35,Miranda Price,304,maybe
35,Miranda Price,353,maybe
35,Miranda Price,395,yes
35,Miranda Price,492,yes
35,Miranda Price,506,yes
35,Miranda Price,531,maybe
35,Miranda Price,542,yes
35,Miranda Price,558,maybe
35,Miranda Price,643,maybe
35,Miranda Price,730,yes
35,Miranda Price,841,maybe
35,Miranda Price,842,yes
35,Miranda Price,870,yes
35,Miranda Price,924,yes
35,Miranda Price,968,maybe
35,Miranda Price,983,yes
36,John Jones,2,yes
36,John Jones,22,maybe
36,John Jones,51,maybe
36,John Jones,65,maybe
36,John Jones,101,maybe
36,John Jones,127,maybe
36,John Jones,273,maybe
36,John Jones,319,maybe
36,John Jones,334,yes
36,John Jones,337,maybe
36,John Jones,463,maybe
36,John Jones,470,yes
36,John Jones,575,yes
36,John Jones,638,yes
36,John Jones,676,yes
36,John Jones,787,maybe
36,John Jones,831,maybe
36,John Jones,872,maybe
36,John Jones,950,maybe
36,John Jones,951,maybe
37,Jenny Gutierrez,84,maybe
37,Jenny Gutierrez,133,maybe
37,Jenny Gutierrez,150,maybe
37,Jenny Gutierrez,340,yes
37,Jenny Gutierrez,385,maybe
37,Jenny Gutierrez,404,maybe
37,Jenny Gutierrez,417,yes
37,Jenny Gutierrez,429,maybe
37,Jenny Gutierrez,452,maybe
37,Jenny Gutierrez,524,yes
37,Jenny Gutierrez,541,maybe
37,Jenny Gutierrez,558,yes
37,Jenny Gutierrez,606,maybe
37,Jenny Gutierrez,620,maybe
37,Jenny Gutierrez,663,maybe
37,Jenny Gutierrez,672,yes
37,Jenny Gutierrez,726,yes
37,Jenny Gutierrez,747,yes
37,Jenny Gutierrez,766,yes
37,Jenny Gutierrez,771,yes
37,Jenny Gutierrez,790,yes
37,Jenny Gutierrez,889,yes
38,Nancy Ruiz,53,maybe
38,Nancy Ruiz,106,maybe
38,Nancy Ruiz,126,yes
38,Nancy Ruiz,289,maybe
38,Nancy Ruiz,350,maybe
38,Nancy Ruiz,435,yes
38,Nancy Ruiz,511,yes
38,Nancy Ruiz,528,yes
38,Nancy Ruiz,536,yes
38,Nancy Ruiz,551,yes
38,Nancy Ruiz,597,yes
38,Nancy Ruiz,614,yes
38,Nancy Ruiz,637,maybe
38,Nancy Ruiz,677,maybe
38,Nancy Ruiz,953,yes
39,Paula Pham,65,yes
39,Paula Pham,77,maybe
39,Paula Pham,138,maybe
39,Paula Pham,187,maybe
39,Paula Pham,279,maybe
39,Paula Pham,366,maybe
39,Paula Pham,382,yes
39,Paula Pham,585,yes
39,Paula Pham,591,yes
39,Paula Pham,937,yes
39,Paula Pham,954,maybe
39,Paula Pham,991,maybe
2465,Crystal Mills,69,yes
2465,Crystal Mills,93,yes
2465,Crystal Mills,163,yes
2465,Crystal Mills,279,yes
2465,Crystal Mills,323,yes
2465,Crystal Mills,461,yes
2465,Crystal Mills,530,yes
2465,Crystal Mills,549,yes
2465,Crystal Mills,554,yes
2465,Crystal Mills,567,yes
2465,Crystal Mills,702,yes
2465,Crystal Mills,728,yes
2465,Crystal Mills,772,yes
2465,Crystal Mills,777,yes
2465,Crystal Mills,947,yes
2465,Crystal Mills,985,yes
41,Tiffany Barnes,51,maybe
41,Tiffany Barnes,127,maybe
41,Tiffany Barnes,144,maybe
41,Tiffany Barnes,150,yes
41,Tiffany Barnes,229,yes
41,Tiffany Barnes,358,yes
41,Tiffany Barnes,383,maybe
41,Tiffany Barnes,444,yes
41,Tiffany Barnes,488,maybe
41,Tiffany Barnes,718,maybe
41,Tiffany Barnes,738,maybe
41,Tiffany Barnes,790,maybe
41,Tiffany Barnes,795,yes
41,Tiffany Barnes,825,yes
41,Tiffany Barnes,885,maybe
42,Andrew Evans,15,yes
42,Andrew Evans,105,maybe
42,Andrew Evans,175,maybe
42,Andrew Evans,179,yes
42,Andrew Evans,222,yes
42,Andrew Evans,241,maybe
42,Andrew Evans,272,maybe
42,Andrew Evans,285,yes
42,Andrew Evans,311,yes
42,Andrew Evans,332,maybe
42,Andrew Evans,355,maybe
42,Andrew Evans,365,maybe
42,Andrew Evans,628,yes
42,Andrew Evans,647,maybe
42,Andrew Evans,712,maybe
42,Andrew Evans,831,yes
42,Andrew Evans,842,maybe
42,Andrew Evans,903,yes
42,Andrew Evans,912,yes
42,Andrew Evans,915,maybe
42,Andrew Evans,933,maybe
42,Andrew Evans,937,maybe
42,Andrew Evans,995,maybe
43,Jacob Meadows,13,maybe
43,Jacob Meadows,35,yes
43,Jacob Meadows,63,maybe
43,Jacob Meadows,78,maybe
43,Jacob Meadows,136,yes
43,Jacob Meadows,298,yes
43,Jacob Meadows,315,yes
43,Jacob Meadows,446,yes
43,Jacob Meadows,475,maybe
43,Jacob Meadows,476,maybe
43,Jacob Meadows,564,maybe
43,Jacob Meadows,602,yes
43,Jacob Meadows,676,yes
43,Jacob Meadows,713,yes
43,Jacob Meadows,750,yes
44,Christopher Wilson,32,maybe
44,Christopher Wilson,65,maybe
44,Christopher Wilson,66,maybe
44,Christopher Wilson,144,yes
44,Christopher Wilson,149,maybe
44,Christopher Wilson,245,maybe
44,Christopher Wilson,263,yes
44,Christopher Wilson,269,maybe
44,Christopher Wilson,318,yes
44,Christopher Wilson,444,maybe
44,Christopher Wilson,465,yes
44,Christopher Wilson,557,maybe
44,Christopher Wilson,661,yes
44,Christopher Wilson,670,maybe
44,Christopher Wilson,717,yes
44,Christopher Wilson,721,yes
44,Christopher Wilson,739,yes
44,Christopher Wilson,813,maybe
44,Christopher Wilson,834,maybe
44,Christopher Wilson,847,yes
44,Christopher Wilson,848,maybe
44,Christopher Wilson,869,yes
44,Christopher Wilson,897,yes
44,Christopher Wilson,951,yes
44,Christopher Wilson,968,maybe
45,Robert Ramos,30,maybe
45,Robert Ramos,55,maybe
45,Robert Ramos,58,yes
45,Robert Ramos,146,yes
45,Robert Ramos,333,yes
45,Robert Ramos,354,yes
45,Robert Ramos,417,maybe
45,Robert Ramos,450,maybe
45,Robert Ramos,528,yes
45,Robert Ramos,598,yes
45,Robert Ramos,662,yes
45,Robert Ramos,796,maybe
45,Robert Ramos,909,yes
46,Desiree Jordan,108,yes
46,Desiree Jordan,145,maybe
46,Desiree Jordan,249,maybe
46,Desiree Jordan,346,maybe
46,Desiree Jordan,401,yes
46,Desiree Jordan,405,maybe
46,Desiree Jordan,444,maybe
46,Desiree Jordan,719,yes
46,Desiree Jordan,758,maybe
46,Desiree Jordan,776,maybe
46,Desiree Jordan,840,yes
46,Desiree Jordan,897,yes
46,Desiree Jordan,973,yes
46,Desiree Jordan,991,yes
46,Desiree Jordan,995,maybe
47,Dr. Nathaniel,56,maybe
47,Dr. Nathaniel,247,yes
47,Dr. Nathaniel,276,maybe
47,Dr. Nathaniel,289,yes
47,Dr. Nathaniel,491,maybe
47,Dr. Nathaniel,511,maybe
47,Dr. Nathaniel,653,yes
47,Dr. Nathaniel,720,maybe
47,Dr. Nathaniel,743,maybe
47,Dr. Nathaniel,765,maybe
47,Dr. Nathaniel,772,yes
47,Dr. Nathaniel,788,yes
47,Dr. Nathaniel,816,maybe
47,Dr. Nathaniel,851,yes
2664,Dylan Moore,2,maybe
2664,Dylan Moore,20,yes
2664,Dylan Moore,51,yes
2664,Dylan Moore,74,maybe
2664,Dylan Moore,208,yes
2664,Dylan Moore,234,maybe
2664,Dylan Moore,237,maybe
2664,Dylan Moore,246,yes
2664,Dylan Moore,434,maybe
2664,Dylan Moore,436,yes
2664,Dylan Moore,467,yes
2664,Dylan Moore,480,yes
2664,Dylan Moore,567,maybe
2664,Dylan Moore,617,maybe
2664,Dylan Moore,624,maybe
2664,Dylan Moore,666,yes
2664,Dylan Moore,757,yes
2664,Dylan Moore,759,yes
2664,Dylan Moore,775,maybe
2664,Dylan Moore,847,maybe
2664,Dylan Moore,858,yes
2664,Dylan Moore,894,yes
2664,Dylan Moore,971,maybe
2664,Dylan Moore,987,maybe
49,Andre Hunter,267,yes
49,Andre Hunter,314,maybe
49,Andre Hunter,347,maybe
49,Andre Hunter,420,yes
49,Andre Hunter,427,yes
49,Andre Hunter,453,yes
49,Andre Hunter,483,yes
